Country/Region,Region,Measure,Avg_Value,Date Range
Australia,Oceania,CO2 Emissions,359785.818181818,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Days to Start Business,3,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Ease of Business,10,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Energy Usage,116747.538461538,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,GDP,816153846153.846,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Health Exp % GDP,8.63076923076923e-02,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Health Exp/Capita,3581.23076923077,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Hours to do Tax,107.75,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Infant Mortality Rate,4.61538461538462e-03,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Internet Usage,0.6785,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Lending Interest,8.23846153846154e-02,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Life Expectancy Female,83.3846153846154,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Life Expectancy Male,78.6153846153846,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Mobile Phone Usage,0.859538461538461,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Population 0-14,0.196461538461538,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Population 15-64,0.673,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Population 65+,0.130461538461538,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Population Total,20784392.3076923,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Population Urban,0.881307692307692,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Tourism Inbound,23055000000,Data between 2000 and 2012 for Australia in Oceania.
Australia,Oceania,Tourism Outbound,18797153846.1538,Data between 2000 and 2012 for Australia in Oceania.
Austria,Europe,Birth Rate,9.38461538461538e-03,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Business Tax Rate,0.533375,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,CO2 Emissions,68467.8181818182,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Days to Start Business,25,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Ease of Business,28,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Energy Usage,32363.1538461538,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,GDP,317538461538.462,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Health Exp % GDP,0.106076923076923,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Health Exp/Capita,4117.23076923077,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Hours to do Tax,170,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Infant Mortality Rate,0.004,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Internet Usage,0.598307692307692,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Lending Interest,,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Life Expectancy Female,82.6153846153846,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Life Expectancy Male,76.8461538461538,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Mobile Phone Usage,1.147,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Population 0-14,0.157461538461538,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Population 15-64,0.676307692307692,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Population 65+,0.166230769230769,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Population Total,8242662.53846154,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Population Urban,0.658230769230769,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Tourism Inbound,18192000000,Data between 2000 and 2012 for Austria in Europe.
Austria,Europe,Tourism Outbound,10968692307.6923,Data between 2000 and 2012 for Austria in Europe.
Azerbaijan,Asia,Birth Rate,1.66153846153846e-02,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Business Tax Rate,0.41525,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,CO2 Emissions,36326.6363636364,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Days to Start Business,47,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Ease of Business,71,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Energy Usage,12285.1666666667,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,GDP,29321521930.0769,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Health Exp % GDP,5.64615384615385e-02,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Health Exp/Capita,176.307692307692,Data between 2000 and 2012 for Azerbaijan in Asia.
Azerbaijan,Asia,Hours to do Tax,525.625,Data between 2000 and 2012 for Azerbaijan in Asia.
